Summary,Document
"This experiment uses the Heart Disease dataset (1988) from the UCI Machine Learning repository to train a model for heart disease prediction.This experiment is based on the original Heart Disease Prediction experiment created by Weehyong Tok from Microsoft, which is one of the Healthcare Industry solutions. This experiment uses the data set from the UCI Machine Learning repository to train and test a model for heart disease prediction. We will use this as a starting point to give you 7 ideas how to start and improve the Cortana Intelligence Gallery examples. Thanks Weehyong for creating and sharing your experiment!","The original database contains 76 attributes, but ML researchers tend to use a subset only containing 14 attributes. The ""goal"" field refers to the presence of heart disease in the patient (num). It is integer valued from 0 (no presence) to 4. With this experiment we will attempt to to distinguish presence (values 1,2,3,4) from absence (value 0).We used the processed Cleveland data, because of a warning from the author.In this case, we only miss 4 entries of ca (number of major vessels colored by flourosopy) and 2 entries of thal. In the original sample, all missing values were substituted with -1. But there are many more options. In this case, we decide to replace them with the mode (most occurring value). Replacing the missing values with the mean would be strange in this case, as thal is a categorical variable, and although I'm not a doctor, I think it would be hard to have 0.67 major vessel colored. This is actually also the reason why we use ca as a categorical variable.We use a stratified split to maintain a balanced training and test set read more on MSDN and set a seed so we can reproduce this experiment.As we have a lot of categorical variables, we decide to make dummy variables out of them. This can be easily done by using the ""Convert to Indicator Values"" module. It helps us to get more insights about the value of a specific categorical variable.We would suggest not to use the ""One-vs-All Multiclass"" module, as this creates a multiclass classification model from an ensemble of binary classification models. We are here dealing with a binary classification model, and not a multiclass classification model, so we don't see the added value.If you use the ""Tune Model Hyperparameters"" module to train your model, please make sure you use the ""Parameter Range"" option for the 'create trainer mode"" property.By using the ""Permutation Feature Importance"" module, you can gain insights. This module computes the permutation feature importance scores of the feature variables given a trained model and a test data set. From the left model, we can find that ""oldpeak"", ""sex"" and ""restecg"" have a relative high feature importance score.

A nice thing, as we have transformed the categorical values into dummies, is that we can actually gain more information by looking at the feature importance scores of the right model. Here we find also ""oldpeak"" with the highest score, second by cp-4, which means asymptomatic chest pain. This chest pain type variable didn't come up while just using the categorical variables as they were, so sometimes it can really help to transform them in order to gain more insight."
Develop a model that uses various network features to detect which network activities are part of an intrusion/attack.In this experiment we use various network features to detect which network activities are part of an intrusion/attack.,"We used a modified dataset from KDD cup 1999. The dataset includes both training and testing sets. Each row of the dataset contains features about network activity and a label about type of activity. All activities except one (with value 'normal') indicate network intrusion. The training set has approximately 126K examples. It has 41 feature columns, a label column and an auxiliary 'diff-level' column that is an estimation of the difficulty of correctly classifying a given example (see [1] for a detailed description of this column). Feature columns are mostly numeric with a few string/categorical features. The test set has approximately 22.5K test examples (with same 43 columns as in the training set).Note that to read from the public blob storage we choose authentication type 'PublicOrSAS'. Importing of the test set is done in a similar way.
The original label column, called 'class' has many values and of string type. Each string value corresponds to a different attack. Some attacks do not have many examples in the training set and there are new attacks in the test set. to simplify this sample experiment we build a model that does not distinguish between different types of attacks. For this purpose we replace 'class' column with the binary column that has 1 if an activity is normal and 0 if it is an attack. The Studio provides built-in modules to ease this preprocessing step. The binarization of 'class' column is achieved by using Metadata Editor to change the type of 'class' column to categorical, getting binary column with Indicator Values module and selecting 'class-normal' column with Project Columns module. This sequence of steps is shown below:We compare 2 machine learning algorithms: Two-Class Logistic Regression and Two-Class Boosted Decision Tree. Also we compare two different training sets, the first one with the original 41 features and the second one with 15 most important features that are found by Filter Based Feature Selection module.Having computed AUC's for all 4 combinations of learning algorithm and training set, we use Execute R to generate a table that summarizes all results.The final output of the experiment is the left output of the last Execute R Script module"
Text classification aims to assign a text instance into one or more class(es) in a predefined set of classes. This collection of experiments demonstrates the steps of the Text Classification Template on how to build and deploy a text classification model.,"The goal of text classification is to assign some piece of text to one or more predefined classes or categories. The piece of text could be a document, news article, search query, email, tweet, support tickets, customer feedback, user product review etc. Applications of text classification include categorizing newspaper articles and news wire contents into topics, organizing web pages into hierarchical categories, filtering spam email, sentiment analysis, predicting user intent from search queries, routing support tickets, and analyzing customer feedback. As part of the Azure Machine Learning offering, Microsoft provides a template to help data scientists easily build and deploy a text classification solution. In this document, you will learn how to use and customize the template through a demo use case.The following graphic presents the workflow of the template. Each step in the workflow corresponds to an Azure ML experiment. The experiments must run in order because the output of one experiment is the input to the next."
"The goal of text classification is to assign some piece of text to one or more predefined classes or categories. The piece of text could be a document, news article, search query, email, tweet, support tickets, customer feedback, user product review etc. "," Applications of text classification include categorizing newspaper articles and news wire contents into topics, organizing web pages into hierarchical categories, filtering spam email, sentiment analysis, predicting user intent from search queries, routing support tickets, and analyzing customer feedback. As part of the Azure Machine Learning offering, Microsoft provides a template to help data scientists easily build and deploy a text classification solution. In this document, you will learn how to use and customize the template through a demo use case.The data used in this use case is Sentiment140 dataset, a publicly available data set created by three graduate students at Stanford University: Alec Go, Richa Bhayani, and Lei Huang. The data comprises approximately 1,600,000 automatically annotated tweets.The tweets were collected by using the Twitter Search API and keyword search. The automatic annotation process works as follows: any tweet containing positive emoticon such as :),:-), :D or =D was assumed to bear positive sentiment, and tweets with negative emoticons such as :<, :-( or :( were supposed to bear negative polarity. Tweets containing both positive and negative emoticons were removed. Additional information about this data and the automatic annotation process can be found in the technical report written by Alec Go, Richa Bhayani and Lei Huang, Twitter Sentiment Classification using Distant Supervision, in 2009.

We sampled only 10% of the data and shared it as Blob in a public Windows Azure Storage account. You can use this shared data to follow the steps in this template, or you can get the full data set from the Sentiment140 dataset home page. In Azure Machine Learning, users can upload a dataset from a local file, or they can connect to an online data source, such as the web, an Azure SQL database, Azure table, , or Windows Azure BLOB storage, by using the Reader module or Azure Data Factory.

For simplicity, this template uses pre-loaded sample datasets. However, users are encouraged to explore the use of online data because it enables real-time updates in an end-to-end solution. A tutorial for setting up an Azure SQL database can be found here: Getting started with Microsoft Azure SQL Database.

The template steps 1-4 represent the text classification model training phase. In this phase, text instances are loaded into the Azure ML experiment, and the text is cleaned and filtered. Different types of numerical features are extracted from cleaned the text, and models are trained on different feature types. Finally, the performance of the trained models are evaluated on unseen text instances and the best model determined based on a number of evaluation criteria.

In steps 5A and 5B, the most accurate model is deployed as a published web service, using either RRS (Request Response Service) or BES (Batch Execution Service). When using RRS, only one text instance is classified at a time. When using BES, a batch of text instances can be sent for classification at the same time. By using these web services, you can perform classification in parallel, using either an external worker or the Azure Data Factory, for greatly enhanced efficiency."
"This experiment demonstrates the use of cross validation in binary classification.This experiment demonstrates how to use the Cross Validate Model module. We used the Adult dataset and trained multiple classification models using cross validation to predict whether an individual’s income is greater or less than $50,000.","Cross Validate Model takes two inputs: a machine learning model and a dataset. For this binary classification problem, we used the following four binary classification methods: Two-Class Averaged Perceptron, Two-Class Boosted Decision Tree, Two-Class Logistic Regression, and Two-Class Support Vector Machine.To configure Cross Validate Model, you must also specify the label column, or classification target. In this case, select the column income and leave the default value for the Random seed option as 0, to randomize the distribution of instances into the folds.There are two outputs from Cross Validate Model. The left-hand output contains the scored results on the training data; the right-hand output contains accuracy metrics for each model.For example, the following diagram shows the first output from the instance of Cross Validate Model that trained using Two-Class Averaged Perceptron. The Scored Labels column shows the predicted class label; the Scored Probabilities column shows the probabilities for the predicted class.Based on the cross validation results, you can tune the model parameters or decide which model to use in the scoring experiment."
"Document classification experiment using Multiclass Decision Forests, with data taken from the CFPB to model support ticket classification.This experiment models using multiclass decision forests to categorize documents. The data used is taken from a publicly-available dataset of consumer complaints about financial products; this is a close analogue to a common task of customer support ticket classification.","Data is taken from the Consumer Financial Protection Bureau's online database of consumer complaints about different financial products. The overall dataset contains over 600,000 complaints, over 90,000 of which contain a ""Consumer complaint narrative"" -- open-ended text describing the problem the consumer is reporting. These complaint span 11 different types of financial products. Because the number of complaints varies substantially across product types, here we limit ourselves to the 5 most frequent product types:Bank accounts, credit cards, Credit reporting, Debt collection and mortgages. Additionally, we restrict ourselves here to complaints with narratives at least 500 characters long, to ensure a sufficiently rich training set. This yields a dataset of 36,958 consumer complaints. In addition to columns containing the product type, complaint narrative, and complaint ID, there are numerous other metadata columns as well that are included in the dataset but not used here.Inspection of cross-validation results shows this model to achieve about 82% accuracy on this data. What is particularly interesting is to note the nature of the classification errors. As can be seen in the confusion matrix displayed by the model evaluation step, errors are concentrated in three highly plausible areas.Bank accounts are mistaken for credit cards.Credit cards are mistaken for credit reporting.Debt collection is mistaken for credit reporting .All three of these error types involve topic areas that overlap in real life. Many credit cards are bank-issued, credit reporting is an integral step in securing a card, and credit reporting is also almost always directly implicated in the debt collection process. These errors may well indicate that the labels being applied to this data are not entirely mutually-exclusive, an important consideration when doing classification; it is also interesting that the errors are not symmetrical which may indicate further interesting structural properties of the data."
"Search suggestions passes wrong previous result to form history  When using the search suggestion extension , the browser asks the user to confirm  the selection by clicking .","MattN noticed a problem with the WIP patch from bug 469443 applied. When typing in the search box, sometimes search-suggestion entries would be displayed above the divider (where entries for previous matching searches are). The problem here is that nsSearchSuggestions.js is passing the wrong previousResult to form history. Instead of it being the previous form history search result, it's the SuggestAutoCompleteResult result (which contains the union of the form-history and search-suggest entries). So, when form history refines its results as you time, it can actually add *more* entries as data leaks from the suggestions result into form history result, and it thus looks like the divider is being drawn in the wrong place. This bug wasn't visible before 469443, because nsFormFillController::StartSearch tries to QI the provided result to a nsIAutoCompleteSimpleResult. The search-suggestion result is only implements nsIAutoCompletResult (no \""Simple\""), so the QI fails, historyResult nee previousResult becomes null, and thus Satchel was doing a new search every time. EG: 1) type \""b\"" in the search field. 2) form history finds 1 entry (\""blah\""), search-suggestions finds \""baaa\"", \""bloop\"", \""bzzz\"", the autocompete menu shows these in order with a divider between \""blah\"" and \""baaa\"". 3) type an \""l\"" in the search field (\""bl\"") 4) startHistorySearch()'s previous result contains [\""blah\"", \""baaa\"", \""bloop\"", \""bzzz\""], Satchel filters this down to [\""blah\"", \""bloop\""] to match the new \""bl\"" search string 5) nsSearchSuggestions's onReadyState() change is called with updated search suggestions, builds up a new list of results, but sees that the form history result now has *two* entries. Created an attachment (id=380567) [details] Patch v.1 (WIP) This fixes the problem, but isn't quite correct... If you type \""a&lt;backspace&gt;b\"", satchel trying to use the results from the \""a\"" search for the \""b\"" search, and so nothing is found. I suspect nsSearchSuggestions needs to throw away the old form history result when the search string changes like this, but I'm not entirely sure it's responsible for doing so, maybe satchel should be smarter about throwing away a previous result when the previous result's search string doesn't have a common prefix. [That seems to be handled somewhere else for normal form field entries, oddly enough.] Created an attachment (id=383211) [details] Patch v.2 Ah. So, there's a ._formHistoryResult in the SuggestAutoCompleteResult wrapper (used to combine form history with search suggestions), and also a ._formHistoryResult in SuggestAutoComplete (the service itself, used to hold onto a form history result until a search suggestion is available). The simple fix it to just discard the service's form history result copy when startSearch() is called with a null previous result. Otherwise it's trying to use a old form history result that no longer applies for the search string. (From update of attachment 383211 [details]) Perhaps we should rename one of them to _fhResult just to reduce confusion? (In reply to comment #3) &gt; (From update of attachment 383211 [details] [details]) &gt; Perhaps we should rename one of them to _fhResult just to reduce confusion? Good point. I renamed the one in the wrapper to _formHistResult. fhResult seemed maybe a bit too short. Pushed http://hg.mozilla.org/mozilla-central/rev/097598383614                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
" Session Restore and Tab Mix Plus disabled, the current patch that is suggested affects Tab Mix Plus so remove the browser.sessionstore.enabled pref","That pref was thought to be for extensions which wanted to completely replace our own Session Restore functionality. While this has worked somehow for Tab Mix Plus, we've had several issues with people ending up both Session Restore and Tab Mix Plus disabled (see bug 435055 and its duplicates). Furthermore, there are several code points which will also break when Session Restore has been disabled (such as the list of recently closed tabs). Instead of adding try-catch-blocks wherever we use Session Restore, I'd much rather encourage extensions authors to override both nsSessionStartup and nsSessionStore to provide the same API with their own functionality (or implementing a dummy-API and making sure for themselves that they've correctly replaced all known consumers). This would also make the lives of those other extension authors simpler who so far can't be too sure that the Session Store component actually works (through whatever implementation). Note that privacy concerned users will still be able to disable writing to sessionstore.js through the browser.sessionstore.resume_from_crash pref.        Created an attachment (id=332726) [details] remove the pref    (note: bug 448725 should be wontfixed if this is fixed)    Created an attachment (id=333820) [details] remove (buggy) note from API comments (From update of attachment 332726 [details]) a problem with this patch is that the session data is still stored in memory while the app is running, and by removing this pref, there's no way to disable that. some users do not want the recently-closed-tabs menu, and others don't want any session tracks stored in memory at all.    (In reply to comment #4) &gt; some users do not want the recently-closed-tabs menu, That's what browser.sessionstore.max_tabs_undo is for: setting it to 0 effectively disables the feature. &gt; and others don't want any session tracks stored in memory at all. Then again, we don't save any data that wouldn't be in memory, anyway, or do we? I'd rather introduce a different pref or different means to cater the privacy sensitive users than have this half-baked cut-it-all pref which AFAICT so far has produced more issues than it's solved. (In reply to comment #5) &gt; Then again, we don't save any data that wouldn't be in memory, anyway, or do we? Fair point. I'm not sure. &gt; I'd rather introduce a different pref or different means to cater the privacy sensitive users than have this half-baked cut-it-all pref which AFAICT so far has produced more issues than it's solved. Yes, agreed the pref is not ideal for this purpose. So max_tabs_undo=0 + resume_from_crash=false is fine for now, until proper \""private browsing\"" is supported. (From update of attachment 332726 [details]) &gt;+            // XXXzeniko should't we just disable this item as we disable &gt;+            // the tabbrowser-multiple items above - for consistency? &gt;+            this.mUndoCloseTabMenuItem.hidden = &gt;+              Cc[\""@mozilla.org/browser/sessionstore;1\""]. &gt;+              getService(Ci.nsISessionStore). &gt;+              getClosedTabCount(window) == 0; 1 r=me (In reply to comment #7) &gt; +1 That's bug 350731. Care to convince mconnor that he's wrong? ;-) Pushed as 17120:e712e96d7861 and 17121:adb1ef78dd21. onemen: This patch significantly affects Tab Mix Plus: Instead of disabling SessionStore, you'll now have to replace it by shipping a component which implements the same API. You should be able to keep that component minimal, though, and just call your own code whenever the API is used. This will make the lives of people using the SessionStore API (such as Session Manager) somewhat simpler, as they can just use the API without having to worry too much about the implementation behind it. If you want to offer the option of switching between your and our implementation, see e.g. the ignore-history component of the Torbutton extension for how to overwrite a component with the original still being available internally (so that you can either pass API calls forward or handle them yourself). Sounds like this has impact for extension authors and so should be documented on MDC no problem. current Tabmix dev-build already not disable SessionStore I currently have only one problem , how to disable the restore after restart. can you add a pref for this, or some other way to do it? (In reply to comment #12) &gt; I currently have only one problem , how to disable the restore after restart. You've got several options for that: * Set the prefs browser.sessionstore.resume_from_crash and browser.sessionstore.resume_session_once both to false as early as possible and make sure that browser.startup.page isn't 3. * Delete the file sessionstore.js as early as possible (e.g. when the profile-after-change notification is dispatched). * For Firefox 3.1: Respond to the sessionstore-state-read notification by setting the subject's data member to an empty string (cf. bug 448741 comment#6). Or is there a use case I'm missing?                                                                                                                                                                                                                                                                                                                                                                                                                                                              "
"Disable multitouch ""rotate"" gesture for cycling tabs  since it is causing issues in several browsers, the issue seems to be due to trigger zoom appearing more frequently than tab rotate hence this feature needs to disabled for the next update.","I've noticed that I frequently trigger the rotate gesture accidentally, usually while scrolling. Gestures have improved since the original landing (when triggering the wrong gesture was really easy), but this articular gesture is still problematic. The basic reasoning is that it's highly disruptive to be switched to another tab when you're not expecting it. When it happens, you don't know what just happened until you notice that you're on some entirely different page, that's randomly to the left or right (1 or more tabs) from the page you thought you were on. I'm don't think the rotate gesture for switching tabs is nearly as useful, discoverable, or a good fit as the other gestures are. So, given this problem, we should just disable it for 3.5. [I'd also be open to tweaking it to make it much harder to trigger accidentally, dunno if that's possible.]       See also bug 461376. Just play around with browser.gesture.twist.* in about:config as a temporary workaround.    Justin, the odd thing here is that I find I trigger zoom more frequently than tab rotate ... far far more frequently. And I also find that it's not just in Firefox, it's all over OSX. I wonder how much of this is us vs. odd timings causing misreads of the trackpad by OSX.  I think I've never accidentally switched tab because of rotate gesture. Actually I'd probably decrease the default threshold for tab switching. I've triggered zoom repeatedly too; usually I fix it right away but a quick browse though content-prefs.sqlite shows ~20 sites with zoom settings that I didn't know were set. That's probably because zoom is a subtle effect (for 1 step, relative to the distraction that an accidental tab switch causes). While playing with different browser.gesture.twist settings, I've found twisting through tabs often resulted in triggering a zoom. Probably because a twist is a very awkward gesture to make, especially if it's more than a quarter-turn... Around that point, my fingers want to spread or join, and that ends up read as a pinch. I've been using swipe left/right to change tabs and cmd-left/right to go back/forward, but I do have rotate as change tabs as well and I haven't accidentally triggered it. Maybe it's your rotating technique ;) I'm right handed and I position my index finger at 7oclock and ring finger at 1oclock. To rotate right I end up at 8/2oclocks.   The first time I came into contact with tab switching via gesture was accidentally. I wasn't sure what happened, I just appeared on another tab and couldn't figure out why. The tab-switching gesture right now isn't obvious and feels unexpected when I hit it.    Mardak: the way you've written this code, disabling the gesture is a pref-flip, right? Blocking here for decision and mulling, will probably take it though.        Yup, should be able to just unset the default value for the twist prefs: -pref(\""browser.gesture.twist.right\"", \""Browser:NextTab\""); -pref(\""browser.gesture.twist.left\"", \""Browser:PrevTab\"");  Would setting the value to empty-string (\""\"") work, or something similar? Since this is now implemented on Win7 with Multitouch screens please be sure not to disable it for Windows.     (In reply to comment #10) This bug is just rotate, but do we want to consider pinching too? If we take those out, we'll have swipe up/down as jump to top/bottom and swipe left/right as back/forward by default.   (In reply to comment #12) &gt; This bug is just rotate, but do we want to consider pinching too? Maybe; it certainly has been noted that people are accidentally hitting that gesture too. Though I think it's a separate decision: rotate is an unnatural gesture for switching tabs (nothing else uses it this way), with a high penalty for accidentally triggering. Pinching is a natural gesture for page zoom (and more widely used/known), with a low penalty for accidentally triggering. I think most people would consider it a bug if we claimed to support multitouch, but pinch didn't do anything. So, I'd strongly lean towards only removing the rotate. Pinchy would've wanted it this way. I guess that's part of why I'm not really fond of this gesture, and would just as soon turn it off. I'll try running with a threshold of 40, but I suspect there's an unavoidable conflict between making it easy to use on purpose, yet hard to invoke accidentally. It would be nice to leave the prefs visible for those who want to use them. &gt; Since this is now implemented on Win7 with Multitouch screens please be sure not to disable it for Windows. Fine by me; though I'd be a bit wary of having Windows users hit the same problem with multitouch trackpads... But Rob says such hardware/drivers doesn't exist today, so it shouldn't be a common problem. We should keep on eye out for problems with issues on touchscreens, andt from Rob demoing it on his touchscreen it would appear harder to trigger. And maybe Windows 7 is just better at discriminating between gestures. OTOH it wouldn't be a big deal to just disable it globally. Safari doesn't use it, and Rob confirmed that IE doesn't use it on Windows 7. (In reply to comment #12) &gt; This bug is just rotate, but do we want to consider pinching too? &gt; &gt; If we take those out, we'll have swipe up/down as jump to top/bottom and swipe left/right as back/forward by default. pinch should definitely be left on for win7. Tracking is turned off so you get a nice zoom in/zoom out effect. It's also nearly impossible to trigger without a definitive pinch with two fingers on the screen. If you want to consider disabling pinch, please file a separate bug, do not conflate. FWIW, I'm not nearly as keen on disabling that one, and am fairly-to-surely likely to WONTFIX such a bug. But go ahead ... try me ;) Created an attachment (id=376850) [details] v1 Don't do anything on os x when twisting. Alternatively, have people tried upping the threshold for twist? It would make it less likely to accidentally trigger. But I just noticed something interesting in os x's gesture detection. - If I use 2 hands (1 finger each) and place one at the top and one at the bottom, moving the top finger registers as a normal mouse move while moving the bottom finger is registered as a twist. I suppose the heuristic there is to assume the top finger is used for scrolling. - Also, if your fingers are too close to the edge, it won't treat it as a rotate. But you can still move the pointer from the edge. Can we get the patch reviewed - I think we want to remove the rotate gesture on both Windows and OSX. Created an attachment (id=378424) [details] v2 both Windows and OSX. (From update of attachment 378424 [details]) uir+r=beltzner http://hg.mozilla.org/mozilla-central/rev/d19424342b43 Give empty commands for twist gestures, so they do nothing, but still show up as prefs in about:config. http://hg.mozilla.org/releases/mozilla-1.9.1/rev/3329a3997d7b Verified fixed on trunk and 1.9.1 with builds on OS X and Windows like: Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.2a1pre) Gecko/20090525 Minefield/3.6a1pre ID:20090525031110 Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.1pre) Gecko/20090526 Shiretoko/3.5pre ID:20090526031155 Off the back of this, would there be any chance of getting... browser.gesture.swipe.left.shift added and set to Browser:PrevTab and browser.gesture.swipe.right.shift added and set to Browser:NextTab Having made this change, I must admit to now finding Firefox almost 'alien' to use on other multi-touch machines! https://bugzilla.mozilla.org/show_bug.cgi?id=502500                                                                                                                                                                                                                                                                                                                                                                                                               "
createExistentResourceFromHandle forgets to create children resources and returns  invalid status . In order to fix this issue the resource descriptions needs to be updated constantly to cope up with the changes that occurred,"Problem: The method FolderDescription#createExistentResourceFromHandle(IResource,IProgressMonitor) checks if the folder already exists and returns immediately if so. In cases where the FolderDescription has members which are not existing at that moment, that members will not be created. Use case: Assume you want to create a folder and a file in that folder and use two operations for this. I know it is not necessary to use two operations but my configuration is more complex than this example code. IFolder folder = ... // must not exist CreateFolderOperation op1 = new CreateFolderOperation(folder,...); IFile file = folder.getFile(...); // must not exist CreateFileOperation op1 = new CreateFileOperation(file,...); op1.execute(...); op2.execute(...); The execution of the op2 does not create the file because as stated above createExistentResourceFromHandle returns immediately because the parent folder of the file was created by op1. I checked the code in the ganymede release and the problem should exist there too.     Is there any reason you cannot execute op1 before creating op2? The basic problem is that the workspace file structure has changed since you first created the operation, so the change described by the operation is no longer valid.   &gt;Is there any reason you cannot execute op1 before creating op2? No there is not. I'll mark this one for M4. I think what needs to happen is that the javadoc better describes the lifecycle of these operations, and the isValid() method is tightened up so that the operation becomes invalid when the workspace changes to no longer match its recorded state. It is not the intention of these classes to stay in synch with workspace changes that happen independently of a shared, sequential workspace history.    Moving target as M6 has shipped.      Fixed in HEAD &gt;20090416. In order to understand better what the ramifications might be of actually fixing this bug vs. better documenting the limitations and usage, I started by implementing a trial fix for the problem as reported. It is pretty straightforward to rearrange the code to create the child resources (the file) even if the parent exists since the operation was created. However, the problems occur later when you try to undo such an operation. Since the operation \""remembered\"" that the folder didn't exist when it was first created, the undo of the create file operation tries to also delete the folder. This means that to truly fix the bug, we'd have to change the operations so that the resource descriptions were constantly updated to deal with changes that occurred. &gt; In addition, I created a stricter validity check on CreateFileOperation so that the operation will return an invalid status if portions of the resource tree already exist. What I meant to say is... I created a stricter validity check on CreateFileOperation so that the operation will return an invalid status if portions of the resource tree *that did not exist when the operation was created* already exist at the time of execution. It is expected/allowed that the containment tree already exists when the op is executed, as long they also existed when the op was created.      verified via automated test cases that run on each build. Also verified through source inspection                                                                    IMHO createExistentResourceFromHandle must check if members of a FolderDescription should be created. In the meantime I found a workaround in my code but I think it's very inconvenient that someone must know that op2 have to be created after the execution of op1. The API gave me no hint that I have to do so! Maybe the build of the FolderDescription could be delayed until the execution of op2. Think about cases where the to ops have nothing in common e.g. created and executed in different plug-ins. So I still believe it's better to document more clearly what the intentions of the API are. I've updated the javadoc for AbstractResourcesOperation, CreateFileOperation, and CreateFolderOperation. In addition, I created a stricter validity check on CreateFileOperation so that the operation will return an invalid status if portions of the resource tree already exist. Created WorkspaceOperationsTest.test250125() to simulate this condition. The CreateFileOperation is valid until the CreateFolderOperation is run, at which time the file operation knows it is invalid.                                                                                                                                                                                                                                                                                                                                                                                                     "
